sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online
2124-002,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"UVEX XACT-FIT REPLACE PLUG 250","Catalog, Search",1
925S,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/ACCESSORIES",base,"925F(X) PROFLEX GLOVE SMALL","Catalog, Search",1
9301-105,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"UVEX ULTRAVISION GOGGLE CLEAR","Catalog, Search",1
9302-245,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"UVEX ULTRASONIC GOGGLE  CLEAR","Catalog, Search",1
CARC2,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/T-SHIRTS FOR MEN",base,"ARC COMPLIANT LONG SLEEVE T-SHIRT","Catalog, Search",1
9963-000,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"CLEANING TOWELETTES 100/BOX","Catalog, Search",1
9972-101,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"UVEX CLEANING FLUID 16FLOZ","Catalog, Search",1
9990-000,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"UVEX COMPLETE CLEANING STATION","Catalog, Search",1
9991-000,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"UVEX CLEANING TISSUES 450/BOX","Catalog, Search",1
CDD,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/FOOTWEAR/SHOES",base,"ECONOMY SHOE WITH STEEL TOE CAP","Catalog, Search",1
CF2,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/FOOTWEAR/TRAINERS",base,"TRAINER S3 NON METALLIC TRAINERS","Catalog, Search",1
CDDS,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/FOOTWEAR/SHOES",base,"ECONOMY SHOES S1P BLACK","Catalog, Search",1
BB3000A1,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"A1 FILTERS (PAIR)","Catalog, Search",1
BB3000A1P2,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"A1P2 FILTERS (PAIR)","Catalog, Search",1
BB3000K1,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"K1 FILTERS (PAIR)","Catalog, Search",1
BL,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/CLOTHING/THERMAL UNDERWEAR FOR MEN",base,"BASE LAYER LONG SLEEVE VEST","Catalog, Search",1
CF17,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/FOOTWEAR/TRAINERS",base,"MESH ACTIVE TRAINER SHOE BLACK/BLUE","Catalog, Search",1
CDDTBB,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/FOOTWEAR/TRAINERS",base,"CLICK TRAINER BOOTS BLACK","Catalog, Search",1
ATU,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/LADIES TUNIC",base,"LADIES TUNIC BLACK / WHITE","Catalog, Search",1
CARC8,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/SWEATSHIRTS FOR MEN",base,"ARC COMPLIANT SAT YELLOW SWEATSHIRT","Catalog, Search",1
CDDST,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/FOOTWEAR/SHOES",base,"CLICK SMOOTH LEATHER TIE SHOES","Catalog, Search",1
CF7BL,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/FOOTWEAR/TRAINERS",base,"CLICK DOUBLE DENSITY TRAINER SHOE BLACK","Catalog, Search",1
BB3000PF,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"PRE FILTER (5 PAIR PACK)","Catalog, Search",1
BB3000RET,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"BB3000 CARTRIDGE RETAINER (PR)","Catalog, Search",1
BB3000S,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"TWIN FILTER MASK SMALL","Catalog, Search",1
CLCTS,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/CLOTHING/T-SHIRTS FOR MEN",base,"MEN'S T-SHIRT WHITE","Catalog, Search",1
CARC56,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/SWEATSHIRTS FOR MEN",base,"ARC COMPLIANT GORT SWEATSHIRT","Catalog, Search",1
AMODV,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/SWEATSHIRTS FOR MEN",base,"ACRYLIC MOD V/N BLACK L","Catalog, Search",1
BBVSHSY,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"B-BRAND VENTED SAFETY HELMAT YELLOW","Catalog, Search",1
ET46,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/JACKETS FOR MEN",base,"ETON JACKET","Catalog, Search",1
BBBEPOD,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"SPARE PODS FOR BBBEP PK = 10PR","Catalog, Search",1
CARC52,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/TROUSERS FOR MEN",base,"ARC COMPLIANT GORT TROUSERS","Catalog, Search",1
HYD0215,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/JACKETS FOR MEN",base,"FURTH HIVIS SNS PILOT JACKET TWO TONE","Catalog, Search",1
ATR,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/APRONS",base,"APRON COTTON TIE ROLL 1/2"X50M","Catalog, Search",1
BBEP500DS,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"B-BRAND EAR PLUG DISPENSER 500","Catalog, Search",1
BBEP500R,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"B-BRAND EAR PLUG REFIL PCK 500","Catalog, Search",1
BBEP500RB,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",base,"B-B EAR PLUG REFILL BOTTLE 500","Catalog, Search",1
CBJF,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/JACKETS FOR MEN",base,"BOMBER JACKET FLEECE LINED HIGH VISIBILITY","Catalog, Search",1
CARC12S,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/POLO SHIRTS FOR MEN",base,"ARC COMPLIANT SAT YELLOW POLO","Catalog, Search",1
HYD072260,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/BIB & BRACES",base,"UTTING SNS HI VIS WATERPROOF BIB & BRACE","Catalog, Search",1
BD118N,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/TROUSERS FOR MEN",base,"BD118 NAVY OVERTROUSER","Catalog, Search",1
CARC2H,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/POLO SHIRTS FOR MEN",base,"ARC COMPLIANT HI VIZ POLO","Catalog, Search",1
CARC4N,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/TROUSERS FOR MEN",base,"ARC COMPLIANT TROUSER NAVY","Catalog, Search",1
BIT,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/TROUSERS FOR MEN",base,"BSEEN BIRKDALE TROUSERS","Catalog, Search",1
AWT,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/TROUSERS FOR MEN",base,"ACTION WORK TROUSERS BLACK","Catalog, Search",1
PCW,FRANCISKIRK,simple,"WORKWEAR & CLOTHING/WORKWEAR/INDUSTRIAL CLOTHING",base,"CLICK PC HOUSE COAT","Catalog, Search",1
