sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online,price,price_structure,url_key,qty
CB10,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",base,SOCKET SET CUP POINT UNC BRASS,Catalog, Search,1,15.75,no,cb10,1000
CB8,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",base,SOCKET SET CUP POINT 45H COARSE 45H DIN 916 SELF COLOUR,Catalog, Search,1,20.83,no,cb8,1000
CB9,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",base,SOCKET SET CUP POINT 45H DIN 916 COARSE 45H ZINC YELLOW,Catalog, Search,1,6,no,cb9,1000
GRPUCT20,FRANCISKIRK,simple,"ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS",base,UNDERCUTTING TOOL 20MM,Catalog, Search,1,2.5,no,grpuct20,1000
TWX53143,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/VALETING CONSUMABLES",base,WASH & WAX WATERLESS CLEANING 750ML,Catalog, Search,1,2.5,no,twx53143,1000
BS001,FRANCISKIRK,simple,"PPE/HEARING PROTECTION",base,B-SAFE EAR PLUGS 3/PACK,Catalog, Search,1,2.28,no,bs001,1000
BS002C,FRANCISKIRK,simple,"PPE/HEARING PROTECTION",base,TPR EASY FIT CORDED EAR PLUGS PACK 5,Catalog, Search,1,3.1,no,bs002c,1000
BS005,FRANCISKIRK,simple,"PPE/HEARING PROTECTION",base,HI VISIBILITY EAR DEFENDER,Catalog, Search,1,6.48,no,bs005,1000
M900,FRANCISKIRK,simple,"PPE/FACE MASKS/FULL FACE MASK",base,MOLDEX FULL FACE MASK,Catalog, Search,1,146.05,no,m900,1000
CPA4,FRANCISKIRK,simple,"PPE/APRONS/PVC APRON",base,CLEAR PVC APRON PACK 10,Catalog, Search,1,44.15,no,cpa4,1000
BS004,FRANCISKIRK,simple,"PPE/HEARING PROTECTION",base,B-SAFE EAR DEFENDER,Catalog, Search,1,8.3,no,bs004,1000
DA,FRANCISKIRK,simple,"PPE/APRONS/PVC APRON",base,DISPOSABLE APRON - WHITE / BLUE,Catalog, Search,1,45.35,no,da,1000
GRP154,FRANCISKIRK,simple,"ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS",base,YELLOW PLASTERBOARD FIXINGS 15MM (PACK 4),Catalog, Search,1,2.5,no,grp154,1000
ANWH20111,FRANCISKIRK,simple,"PPE/BOILERSUITS",base,MICROGARD 2000 WHITE BOILERSUIT COVERALL,Catalog, Search,1,10.35,no,anwh20111,1000
PAHW,FRANCISKIRK,simple,"PPE/APRONS/PVC APRON",base,PVC APRON - PACK OF 10,Catalog, Search,1,62.2,no,pahw,1000
CM0004,FRANCISKIRK,simple,"PPE/FIRST AID KITS/FIRST AID KITS",base,HSE ONE PERSON KIT IN PVC POUCH,Catalog, Search,1,3.75,no,cm0004,1000
CM0126,FRANCISKIRK,simple,"PPE/REFILL KITS/REFILL KITS",base,BSI LARGE REFILL (4401L),Catalog, Search,1,23.8,no,cm0126,1000
CMA48,FRANCISKIRK,simple,"PPE/APRONS/PVC APRON",base,CHEMMASTER PVC APRON GREEN 48"X36",Catalog, Search,1,63.5,no,cma48,1000
RAWM810LB,FRANCISKIRK,simple,"ANCHORING PRODUCTS/FIXINGS/MASONRY FIXINGS",base,RAWLBOLT LOOSE BOLT M8/10L (BAG 5),Catalog, Search,1,2.5,no,rawm810lb,1000
RAWM825PB,FRANCISKIRK,simple,"ANCHORING PRODUCTS/FIXINGS/MASONRY FIXINGS",base,RAWLBOLT PROJECTING BOLT M8/25P (BAG 5),Catalog, Search,1,2.5,no,rawm825pb,1000
DESCW,FRANCISKIRK,simple,"PPE/PROTECTIVE COVERALL/CHEMICAL PROTECTIVE COVERALL",base,TYVEK 200 EASYSAFE WHITE GLOVES,Catalog, Search,1,5.93,no,descw,1000
TAC1530,FRANCISKIRK,simple,"NAILS, PINS & FIXINGS/NAILS/STAPLES, BRADS & NAILS",base,15 GAUGE HARDENED FINISH NAILS 30MM PACK 1500,Catalog, Search,1,2.5,no,tac1530,1000
MEMCAP1045,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 45MM (BOX 100),Catalog, Search,1,2.5,no,memcap1045,1000
GRP254,FRANCISKIRK,simple,"ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS",base,BLUE PLASTERBOARD FIXINGS 25MM (PACK 4),Catalog, Search,1,2.5,no,grp254,1000
UPOON1,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GLASS FIBRE RESIN & CAR BODY FILLER",base,ONION MULTI LAYER MIXING BOARD 1 PACK (100 SHEETS),Catalog, Search,1,2.5,no,upoon1,1000
TWX51791,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/VALETING CONSUMABLES",base,INTERIOR 1 MULTIPURPOSE CLEANER 400ML,Catalog, Search,1,2.5,no,twx51791,1000
