sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online
CB10,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",base,SOCKET SET CUP POINT UNC BRASS,"Catalog, Search",1
CB8,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",base,SOCKET SET CUP POINT 45H COARSE 45H DIN 916 SELF COLOUR,"Catalog, Search",1
CB9,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",base,SOCKET SET CUP POINT 45H DIN 916 COARSE 45H ZINC YELLOW,"Catalog, Search",1
GRPUCT20,FRANCISKIRK,simple,"ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS",base,UNDERCUTTING TOOL 20MM,"Catalog, Search",1
TWX53143,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/VALETING CONSUMABLES",base,WASH & WAX WATERLESS CLEANING 750ML,"Catalog, Search",1
BS001,FRANCISKIRK,simple,"PPE/HEARING PROTECTION",base,B-SAFE EAR PLUGS 3/PACK,"Catalog, Search",1
BS002C,FRANCISKIRK,simple,"PPE/HEARING PROTECTION",base,TPR EASY FIT CORDED EAR PLUGS PACK 5,"Catalog, Search",1
BS005,FRANCISKIRK,simple,"PPE/HEARING PROTECTION",base,HI VISIBILITY EAR DEFENDER,"Catalog, Search",1
M900,FRANCISKIRK,simple,"PPE/FACE MASKS/FULL FACE MASK",base,MOLDEX FULL FACE MASK,"Catalog, Search",1
CPA4,FRANCISKIRK,simple,"PPE/APRONS/PVC APRON",base,CLEAR PVC APRON PACK 10,"Catalog, Search",1
BS004,FRANCISKIRK,simple,"PPE/HEARING PROTECTION",base,B-SAFE EAR DEFENDER,"Catalog, Search",1
DA,FRANCISKIRK,simple,"PPE/APRONS/PVC APRON",base,DISPOSABLE APRON - WHITE / BLUE,"Catalog, Search",1
GRP154,FRANCISKIRK,simple,"ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS",base,YELLOW PLASTERBOARD FIXINGS 15MM (PACK 4),"Catalog, Search",1
ANWH20111,FRANCISKIRK,simple,"PPE/BOILERSUITS",base,MICROGARD 2000 WHITE BOILERSUIT COVERALL,"Catalog, Search",1
PAHW,FRANCISKIRK,simple,"PPE/APRONS/PVC APRON",base,PVC APRON - PACK OF 10,"Catalog, Search",1
CM0004,FRANCISKIRK,simple,"PPE/FIRST AID KITS/FIRST AID KITS",base,HSE ONE PERSON KIT IN PVC POUCH,"Catalog, Search",1
CM0126,FRANCISKIRK,simple,"PPE/REFILL KITS/REFILL KITS",base,BSI LARGE REFILL (4401L),"Catalog, Search",1
CMA48,FRANCISKIRK,simple,"PPE/APRONS/PVC APRON",base,CHEMMASTER PVC APRON GREEN 48"X36","Catalog, Search",1
RAWM810LB,FRANCISKIRK,simple,"ANCHORING PRODUCTS/FIXINGS/MASONRY FIXINGS",base,RAWLBOLT LOOSE BOLT M8/10L (BAG 5),"Catalog, Search",1
RAWM825PB,FRANCISKIRK,simple,"ANCHORING PRODUCTS/FIXINGS/MASONRY FIXINGS",base,RAWLBOLT PROJECTING BOLT M8/25P (BAG 5),"Catalog, Search",1
DESCW,FRANCISKIRK,simple,"PPE/PROTECTIVE COVERALL/CHEMICAL PROTECTIVE COVERALL",base,TYVEK 200 EASYSAFE WHITE GLOVES,"Catalog, Search",1
TAC1530,FRANCISKIRK,simple,"NAILS, PINS & FIXINGS/NAILS/STAPLES, BRADS & NAILS",base,15 GAUGE HARDENED FINISH NAILS 30MM PACK 1500,"Catalog, Search",1
MEMCAP1045,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 45MM (BOX 100),"Catalog, Search",1
GRP254,FRANCISKIRK,simple,"ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS",base,BLUE PLASTERBOARD FIXINGS 25MM (PACK 4),"Catalog, Search",1
UPOON1,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GLASS FIBRE RESIN & CAR BODY FILLER",base,ONION MULTI LAYER MIXING BOARD 1 PACK (100 SHEETS),"Catalog, Search",1
TWX51791,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/VALETING CONSUMABLES",base,INTERIOR 1 MULTIPURPOSE CLEANER 400ML,"Catalog, Search",1
UPORESM,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GLASS FIBRE RESIN & CAR BODY FILLER",base,ISOPON FASTGLAS LAMINATING RESIN TIN 250ML,"Catalog, Search",1
UPOP401,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GLASS FIBRE RESIN & CAR BODY FILLER",base,P.40 BODY FILLER FOR HOLES TIN 600ML,"Catalog, Search",1
UCRX932U4,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/BRUSHES, CHAMOIS & SPONGES",base,MICROFIBRE CLOTHS 30 X 40CM (PACK 6),"Catalog, Search",1
SCJ316524,FRANCISKIRK,simple,"CLEANING PRODUCTS/CLEANING & HEATING/CLEANING PRODUCTS",base,MR MUSCLE MULTI-SURFACE CLEANER 750ML,"Catalog, Search",1
SCJ316526,FRANCISKIRK,simple,"CLEANING PRODUCTS/CLEANING & HEATING/CLEANING PRODUCTS",base,MR MUSCLE WASHROOM CLEANER 750ML,"Catalog, Search",1
UCRX110U1D,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/BRUSHES, CHAMOIS & SPONGES",base,HANDY SPONGES (PACK 5),"Catalog, Search",1
MEMFN4Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M4 (BOX 2000),"Catalog, Search",1
MEMLN10Z,FRANCISKIRK,simple,"NUTS/HEX NUTS",base,HEXAGON LOCK NUT ZP M10 (BOX 500),"Catalog, Search",1
FORSPETF150G,FRANCISKIRK,simple,"SCREWS/TIMBER FIXING & DECKING SCREWS",base,SPECTRE TIMBERFIX SCREW 6.3 X 150MM (BOX 50),"Catalog, Search",1
MEMHTB645Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M6 X 45MM (BOX 200),"Catalog, Search",1
GRPASSKIT,FRANCISKIRK,simple,"ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS",base,PLASTERBOARD FIXINGS ASSORTED KIT, 32 PIECE,"Catalog, Search",1
