sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter,,
22MCI800,,,,,,,,,,,,,,,,,,,,,293.05,2.93,,,,,
22MCI854,,,,,,,,,,,,,,,,,,,,,297.95,2.98,,,,,
22MCP800,,,,,,,,,,,,,,,,,,,,,384.55,3.85,,,,,
22MCP854,,,,,,,,,,,,,,,,,,,,,206.55,2.07,,,,,
22MCV855,,,,,,,,,,,,,,,,,,,,,119.73,1.2,,,,,
24MCI2S00,,,,,,,,,,,,,,,,,,,,,425.33,4.25,,,,,
24MCI4S00,,,,,,,,,,,,,,,,,,,,,1050.38,10.5,,,,,
24MCI800,,,,,,,,,,,,,,,,,,,,,345.93,3.46,,,,,
24MCI854,,,,,,,,,,,,,,,,,,,,,356.63,3.57,,,,,
24MCP1000,,,,,,,,,,,,,,,,,,,,,575,5.75,,,,,
24MCP2S00,,,,,,,,,,,,,,,,,,,,,531.65,5.32,,,,,
24MCP4S00,,,,,,,,,,,,,,,,,,,,,1470.53,14.71,,,,,
24MCP800,,,,,,,,,,,,,,,,,,,,,358.5,3.59,,,,,
24MCP854,,,,,,,,,,,,,,,,,,,,,299.58,3,,,,,
24MCV855,,,,,,,,,,,,,,,,,,,,,254.03,2.54,,,,,
24MFI854,,,,,,,,,,,,,,,,,,,,,277.83,2.78,,,,,
24MFP1000,,,,,,,,,,,,,,,,,,,,,389.38,3.89,,,,,
27MCI1054,,,,,,,,,,,,,,,,,,,,,550,5.5,,,,,
27MCI2S00,,,,,,,,,,,,,,,,,,,,,2875,28.75,,,,,
27MCI800,,,,,,,,,,,,,,,,,,,,,466.55,4.67,,,,,
27MCI854,,,,,,,,,,,,,,,,,,,,,482.98,4.83,,,,,
27MCP1054,,,,,,,,,,,,,,,,,,,,,510.3,5.1,,,,,
27MCP1254,,,,,,,,,,,,,,,,,,,,,900,9,,,,,
27MCP800,,,,,,,,,,,,,,,,,,,,,669.9,6.7,,,,,
27MCP854,,,,,,,,,,,,,,,,,,,,,425.25,4.25,,,,,
30MCI1054,,,,,,,,,,,,,,,,,,,,,396.9,3.97,,,,,
30MCI2S00,,,,,,,,,,,,,,,,,,,,,1095.93,10.96,,,,,
30MCI4S00,,,,,,,,,,,,,,,,,,,,,2100.73,21.01,,,,,
30MCI800,,,,,,,,,,,,,,,,,,,,,769.38,7.69,,,,,
30MCI854,,,,,,,,,,,,,,,,,,,,,793.18,7.93,,,,,
30MCP2S00,,,,,,,,,,,,,,,,,,,,,1369.93,13.7,,,,,
30MCP4S00,,,,,,,,,,,,,,,,,,,,,2941.03,29.41,,,,,
30MCP800,,,,,,,,,,,,,,,,,,,,,1088.33,10.88,,,,,
30MCP854,,,,,,,,,,,,,,,,,,,,,607.5,6.08,,,,,
30MCV855,,,,,,,,,,,,,,,,,,,,,790.78,7.91,,,,,
33MCI800,,,,,,,,,,,,,,,,,,,,,1398.08,13.98,,,,,
33MCI854,,,,,,,,,,,,,,,,,,,,,1418.5,14.19,,,,,
33MCP800,,,,,,,,,,,,,,,,,,,,,1764.43,17.64,,,,,
33MCP854,,,,,,,,,,,,,,,,,,,,,778.4,7.78,,,,,
36MCI800,,,,,,,,,,,,,,,,,,,,,2009.78,20.1,,,,,
36MCI854,,,,,,,,,,,,,,,,,,,,,2071.93,20.72,,,,,
36MCP800,,,,,,,,,,,,,,,,,,,,,1767.03,17.67,,,,,
36MCP854,,,,,,,,,,,,,,,,,,,,,839.48,8.39,,,,,
36MCV855,,,,,,,,,,,,,,,,,,,,,1061.1,10.61,,,,,
3MCI2S00,,,,,,,,,,,,,,,,,,,,,39.38,0.39,,,,,
3MCI4S00,,,,,,,,,,,,,,,,,,,,,40.83,0.41,,,,,
3MCI800,,,,,,,,,,,,,,,,,,,,,21.5,0.22,,,,,
3MCP2S00,,,,,,,,,,,,,,,,,,,,,49.2,0.49,,,,,
3MCP4S00,,,,,,,,,,,,,,,,,,,,,57.15,0.57,,,,,
3MCP854,,,,,,,,,,,,,,,,,,,,,28.5,0.29,,,,,
42MCI800,,,,,,,,,,,,,,,,,,,,,2618.65,26.19,,,,,
42MCI854,,,,,,,,,,,,,,,,,,,,,2697.2,26.97,,,,,
48MCP854,,,,,,,,,,,,,,,,,,,,,3200,32,,,,,
4MCI2S00,,,,,,,,,,,,,,,,,,,,,37.9,0.38,,,,,
4MCI4S00,,,,,,,,,,,,,,,,,,,,,32.45,0.32,,,,,
4MCI800,,,,,,,,,,,,,,,,,,,,,23.98,0.24,,,,,
4MCI854,,,,,,,,,,,,,,,,,,,,,24.98,0.25,,,,,
4MCP2018,,,,,,,,,,,,,,,,,,,,,42.5,0.43,,,,,
4MCP2S00,,,,,,,,,,,,,,,,,,,,,47.38,0.47,,,,,
4MCP4S00,,,,,,,,,,,,,,,,,,,,,45.43,0.45,,,,,
4MCP800,,,,,,,,,,,,,,,,,,,,,30.63,0.31,,,,,
4MCP854,,,,,,,,,,,,,,,,,,,,,18.1,0.18,,,,,
4MCV855,,,,,,,,,,,,,,,,,,,,,4.18,0.04,,,,,
56MCI1257,,,,,,,,,,,,,,,,,,,,,4125,41.25,,,,,
56MFI1257,,,,,,,,,,,,,,,,,,,,,4125,41.25,,,,,
5MCI2S00,,,,,,,,,,,,,,,,,,,,,30.38,0.3,,,,,
5MCI4S00,,,,,,,,,,,,,,,,,,,,,40.38,0.4,,,,,
5MCI800,,,,,,,,,,,,,,,,,,,,,18.95,0.19,,,,,
5MCI854,,,,,,,,,,,,,,,,,,,,,14.88,0.15,,,,,
5MCP2S00,,,,,,,,,,,,,,,,,,,,,37.98,0.38,,,,,
5MCP4S00,,,,,,,,,,,,,,,,,,,,,56.53,0.57,,,,,
5MCP800,,,,,,,,,,,,,,,,,,,,,29.88,0.3,,,,,
5MCP837,,,,,,,,,,,,,,,,,,,,,30.8,0.31,,,,,
5MCP854,,,,,,,,,,,,,,,,,,,,,20.2,0.2,,,,,
5MCV855,,,,,,,,,,,,,,,,,,,,,4.83,0.05,,,,,
64MCJ837,,,,,,,,,,,,,,,,,,,,,3700,37,,,,,
6MCI2S00,,,,,,,,,,,,,,,,,,,,,31.65,0.32,,,,,
6MCI4S00,,,,,,,,,,,,,,,,,,,,,50.13,0.5,,,,,
