sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
ALMQT028,TOOLBANK,QT028 PLASTIC BLADES HOVERSAFE,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,5.88,5.88,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ALMQT028.jpg,
ALMQT039,TOOLBANK,QT039 DRIVE BELT,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,11.73,11.73,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ALMQT039.jpg,
ALMQT043,TOOLBANK,QT043 DRIVE BELT,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,6.43,6.43,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ALMQT043.jpg,
ALMRY054,TOOLBANK,RY054 SPOOL & LINE RYOBI 1.5MM X 2 X 3M,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,6.43,6.43,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ALMRY054.jpg,
ALMRY119,TOOLBANK,RY119 SPOOL & LINE RYOBI 1.3MM X 2 X 3.5M,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,6.83,6.83,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ALMRY119.jpg,
ALMRY124,TOOLBANK,RY124 SPOOL & LINE RYOBI 1.5MM X 6M,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,7.25,7.25,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ALMRY124.jpg,
ALMRY204,TOOLBANK,RY204 SPOOL HEAD ASSEMBLY 5/16UNC X 1/2IN RIGHT HAND THREAD BOLT,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,20.3,20.3,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ALMRY204.jpg,
ALMRY372,TOOLBANK,RY372 SPOOL & LINE (TWIN LINE) FOR RYOBI TRIMMERS 1.5MM X 2 X 5M,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,7.18,7.18,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ALMRY372.jpg,
ALMSL001,TOOLBANK,SL001 LIGHT-DUTY TRIMMER LINE 1.3MM X 30M,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,4.58,4.58,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/c_scale,g_north_east,l_toolbank:brands:ALM,o_100,w_100,x_10,y_5/toolbank/products/ALMSL001_PACK.jpg,
ALMSL002,TOOLBANK,SL002 MEDIUM-DUTY TRIMMER LINE 1.5MM X 30M,,,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS",1,5.43,5.43,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/c_scale,g_north_east,l_toolbank:brands:ALM,o_100,w_100,x_10,y_5/toolbank/products/ALMSL002_PACK.jpg,
