Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
ROU31976,ROU31976,TOOLBANK,SAFETY GRIP FOR 19MM (3/4IN) SHANK,SAFETY GRIP FOR 19MM (3/4IN) SHANK,,,,,,TOOLS,HAND TOOLS,BUILDER'S TOOLS,"BOLSTERS, COLD CHISELS & SCUTCH CHISELS",1,2.51,6.28,1,1,ROUGHNECK,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/ROU31975.jpg",-,,,
ROU31978,ROU31978,TOOLBANK,COLD CHISEL 152 X 16MM (6 X 5/8IN) 16MM SHANK,COLD CHISEL 152 X 16MM (6 X 5/8IN) 16MM SHANK,,,,,,TOOLS,HAND TOOLS,BUILDER'S TOOLS,"BOLSTERS, COLD CHISELS & SCUTCH CHISELS",1,2.64,6.6,1,1,ROUGHNECK,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/ROU31979.jpg",-,,,
ROU31984,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,TOOLS,HAND TOOLS,BUILDER'S TOOLS,"BOLSTERS, COLD CHISELS & SCUTCH CHISELS",1,0,0,1,1,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,
STA418288,STA418288,TOOLBANK,COLD CHISEL 16 X 171MM (5/8 X 6.3/4IN),COLD CHISEL 16 X 171MM (5/8 X 6.3/4IN),,,,,,TOOLS,HAND TOOLS,BUILDER'S TOOLS,"BOLSTERS, COLD CHISELS & SCUTCH CHISELS",1,2.45,6.13,1,1,STANLEY TOOLS,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/STA418286.jpg",,,,
STA418291,STA418291,TOOLBANK,COLD CHISEL 25 X 205MM (1 X 12IN),COLD CHISEL 25 X 205MM (1 X 12IN),,,,,,TOOLS,HAND TOOLS,BUILDER'S TOOLS,"BOLSTERS, COLD CHISELS & SCUTCH CHISELS",1,6.47,16.18,1,1,STANLEY TOOLS,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/STA418287.jpg",,,,
Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
REC918H,REC918H,TOOLBANK,918H ARM ADJUSTED HIGH TENSILE BOLT CUTTER 460MM (18IN),918H ARM ADJUSTED HIGH TENSILE BOLT CUTTER 460MM (18IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,101.23,253.08,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/REC914H.jpg",,,,
REC924H,REC924H,TOOLBANK,924H ARM ADJUSTED HIGH-TENSILE BOLT CUTTER 610MM (24IN),924H ARM ADJUSTED HIGH-TENSILE BOLT CUTTER 610MM (24IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,125.1,312.75,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/REC914H.jpg",,,,
REC930H,REC930H,TOOLBANK,930H ARM ADJUSTED HIGH-TENSILE BOLT CUTTER 760MM (30IN),930H ARM ADJUSTED HIGH-TENSILE BOLT CUTTER 760MM (30IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,150.71,376.78,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/REC914H.jpg",,,,
REC936H,REC936H,TOOLBANK,936H ARM ADJUSTED HIGH-TENSILE BOLT CUTTER 910MM (36IN),936H ARM ADJUSTED HIGH-TENSILE BOLT CUTTER 910MM (36IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,207.94,519.85,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/REC914H.jpg",,,,
REC942H,REC942H,TOOLBANK,942H ARM ADJUSTED HIGH TENSILE BOLT CUTTER 1060MM (42IN),942H ARM ADJUSTED HIGH TENSILE BOLT CUTTER 1060MM (42IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,279.84,699.6,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/REC914H.jpg",,,,
RECBC918H,RECBC918H,TOOLBANK,BC918H CAM ADJUSTED HIGH TENSILE BOLT CUTTER 460MM (18IN),BC918H CAM ADJUSTED HIGH TENSILE BOLT CUTTER 460MM (18IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,76.23,190.58,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/RECBC914H.jpg",,,,
RECBC924H,RECBC924H,TOOLBANK,BC924H CAM ADJUSTED HIGH TENSILE BOLT CUTTER 610MM (24IN),BC924H CAM ADJUSTED HIGH TENSILE BOLT CUTTER 610MM (24IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,104.98,262.45,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/RECBC914H.jpg",,,,
RECJ918H,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,0,0,1,1,IRWIN,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,
RECJ924H,RECJ924H,TOOLBANK,J924H PAIR OF HIGH TENSILE REPLACEMENT JAWS 610MM (24IN),J924H PAIR OF HIGH TENSILE REPLACEMENT JAWS 610MM (24IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,46.52,116.3,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/RECJ914H.jpg",,,,
RECJ930H,RECJ930H,TOOLBANK,J930H PAIR OF HIGH TENSILE REPLACEMENT JAWS 760MM (30IN),J930H PAIR OF HIGH TENSILE REPLACEMENT JAWS 760MM (30IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,62.21,155.53,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/RECJ914H.jpg",,,,
RECJ936H,RECJ936H,TOOLBANK,J936H PAIR OF HIGH TENSILE REPLACEMENT JAWS 910MM (36IN),J936H PAIR OF HIGH TENSILE REPLACEMENT JAWS 910MM (36IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,64.45,161.13,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/RECJ914H.jpg",,,,
RECJ942H,RECJ942H,TOOLBANK,J942H PAIR OF HIGH TENSILE REPLACEMENT JAWS 1060MM (42IN),J942H PAIR OF HIGH TENSILE REPLACEMENT JAWS 1060MM (42IN),,,,,,TOOLS,HAND TOOLS,"PLIERS, STRIPPERS, SNIPS & CROPPERS",BOLT CROPPERS,1,112.91,282.28,1,1,IRWIN,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/RECJ914H.jpg",,,,
Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
STB96M224,STB96M224,TOOLBANK,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 60CM,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 60CM,,,,,,TOOLS,HAND TOOLS,LEVELS - SPIRIT,BOX SECTION LEVELS,1,37.27,93.18,1,1,STABILA,,,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/STB96260.jpg",,,,
STB96M232,STB96M232,TOOLBANK,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 80CM,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 80CM,,,,,,TOOLS,HAND TOOLS,LEVELS - SPIRIT,BOX SECTION LEVELS,1,42.55,106.38,1,1,STABILA,,,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/STB96260.jpg",,,,
STB96M240,STB96M240,TOOLBANK,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 100CM,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 100CM,,,,,,TOOLS,HAND TOOLS,LEVELS - SPIRIT,BOX SECTION LEVELS,1,53.21,133.03,1,1,STABILA,,,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/STB96260.jpg",,,,
