sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"ABU145",TOOLBANK,"ABUS ALUMINIUM COMBINATION PADLOCK","The ABUS 145 Series Aluminium Combination Padlocks feature resettable combinations. The lock body is made from solid aluminium with an anodized coating that is corrosion resistant. Fitted with a spring loaded steel shackle for better setting of the opening code. ,  , As the padlocks are secured by means of a 3-digit or 4-digit number combination that can be set individually, they are ideal for use in the leisure industry as there is no need to carry a key. They are also ideal for securing items of luggage or tool boxes. ,  , 20-30mm: 3 digit combination, to secure valuables/goods of lesser value or at a low risk of theft. ,  , 40mm: 4 digit combination, to secure valuables/goods of medium value or at an average risk of theft.",,,,,,,,1,,1,ABUS MECHANICAL,,,,,"TOOLS/PADLOCKS, DOOR LOCKS & SECURITY/PADLOCKS AND HASP & STAPLES/ABUS PADLOCKS",1,12.1,12.1,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/ABU14520BLU.jpg
"ANT52",TOOLBANK,"52 BIT 4.7MM > XS B005230","52 BIT 4.7MM > XS B005230",,,,,,,,1,,1,ANTEX,,,,,"TOOLS/RIVETING & SOLDERING",1,6.83,6.83,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ANT52.jpg
"ANTGC120KIT",TOOLBANK,"SOLDERING IRON KIT XG120KT 120 WATT","SOLDERING IRON KIT XG120KT 120 WATT",,,,,,,,1,,1,ANTEX,,,,,"TOOLS/RIVETING & SOLDERING",1,136.38,136.38,1,https://franciskirk.shop/var/import/images/ANTGC120KIT.jpg
"ANTGC60",TOOLBANK,"XG06020 GASCAT SOLDERING IRON 60 WATT","XG06020 GASCAT SOLDERING IRON 60 WATT",,,,,,,,1,,1,ANTEX,,,,,"TOOLS/RIVETING & SOLDERING",1,56.1,56.1,1,https://franciskirk.shop/var/import/images/ANTGC60.jpg
"ANTXPT06YO",TOOLBANK,"XPT06YO HOT AIR TIP FOR GASCAT 60 SOLDERING IRON","XPT06YO HOT AIR TIP FOR GASCAT 60 SOLDERING IRON",,,,,,,,1,,1,ANTEX,,,,,"TOOLS/RIVETING & SOLDERING",1,14.23,14.23,1,https://franciskirk.shop/var/import/images/ANTXPT06YO.jpg
"ARA400001",TOOLBANK,"STANDARD EPOXY 2 X 15ML TUBES","STANDARD EPOXY 2 X 15ML TUBES",,,,,,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES",1,7.85,7.85,1,https://franciskirk.shop/var/import/images/ARA400001.jpg
"ARA400002",TOOLBANK,"INDUSTRIAL STANDARD EPOXY 2 X 100ML TUBES","INDUSTRIAL STANDARD EPOXY 2 X 100ML TUBES",,,,,,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES",1,53.03,53.03,1,https://franciskirk.shop/var/import/images/ARA400002.jpg
"ARA400003",TOOLBANK,"STANDARD EPOXY SYRINGE 24ML","STANDARD EPOXY SYRINGE 24ML",,,,,,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES",1,8.5,8.5,1,https://franciskirk.shop/var/import/images/ARA400003.jpg
"ARA400005",TOOLBANK,"RAPID EPOXY 2 X 15ML TUBES","RAPID EPOXY 2 X 15ML TUBES",,,,,,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES",1,7.85,7.85,1,https://franciskirk.shop/var/import/images/ARA400005.jpg
"ARA400007",TOOLBANK,"RAPID EPOXY SYRINGE 24ML","RAPID EPOXY SYRINGE 24ML",,,,,,,,1,,1,ARALDITE,,,,,"TOOLS/ADHESIVES & TAPES/EPOXY ADHESIVES",1,8.5,8.5,1,https://franciskirk.shop/var/import/images/ARA400007.jpg
