sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
FORLB1010G,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORLB1075G,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORLB1260M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORLB2060M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORLB810M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORSA1077M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR FIXINGS"
FORMCA432M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CAVITY WALL ANCHOR"
FORMCA537M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CAVITY WALL ANCHOR"
FORMCA652M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CAVITY WALL ANCHOR"
FORSX1077M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR FIXINGS"
FORSX1299G,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR FIXINGS"
FORSX885M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR FIXINGS"
FORTOG550M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
FORTOG675M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
FORSA840M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR FIXINGS"
FORPB1050M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORPB1090M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORPB610M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORPB810M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORPB860M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR BOLT"
FORSX1097M,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/ANCHOR FIXINGS"
FORRCC67B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE CLIPS"
FORRCC78W,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE CLIPS"
FORRESINNOZ,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CHEMICAL FIXINGS"
JUB000,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
JUB0XWS,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
JUB125,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
STA1PAA44,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/RIVETING & SOLDERING, ANCHORING PRODUCTS/RIVETING & SOLDERING/RIVETS"
STA1PAA54,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/RIVETING & SOLDERING, ANCHORING PRODUCTS/RIVETING & SOLDERING/RIVETS"
FORGB12,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXING BANDS"
JUB1A,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
JUB7,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
FORCT300B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES"
FORCT300N,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES"
FAIHC1SSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
FAIHC4B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
FAIHC75B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
FAIHC1XWSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
FAIHC1B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
FORGUN380,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CHEMICAL FIXINGS"
FAIHCOB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
FORFCC25G,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE CLIPS"
FAIHC3SSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
FAIHC7B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS"
PLAMNF555,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
PLAMSDF255,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/CAVITY WALL FIXINGS"
PLARP187,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLASAP505,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLASBJP551,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLASBP503,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLASCF552,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
PLASDR556,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLASGP550,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLASHCF553,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
PLASSCP558,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/AIRCRETE FIXINGS"
PLASSTC554,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/CAVITY WALL FIXINGS"
PLASUTB010,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/AIRCRETE FIXINGS"
PLASWRS20,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLASYP501,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLAWRB526,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/RIGID & MODESTY BLOCKS"
RAW07015,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
RAW07022,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
RAW07105,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
RAW07122,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
RAW07124,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
PLABJP700,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLABJP735,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLABP539,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLACF104,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
PLACF111,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
PLACF427,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
PLADR106,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLADR308,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/PLASTIC & NYLON WALL PLUGS"
PLAHCF110,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
PLAHCF113,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/PLASTERBOARD FIXINGS"
PLAHMSS005,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/CAVITY WALL FIXINGS"
PLAHNSS010,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/FIXINGS, ANCHORING PRODUCTS/FIXINGS/CAVITY WALL FIXINGS"
STA1PAA48,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/RIVETING & SOLDERING, ANCHORING PRODUCTS/RIVETING & SOLDERING/RIVETS"
STA1PAA52,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/RIVETING & SOLDERING, ANCHORING PRODUCTS/RIVETING & SOLDERING/RIVETS"
STA1PAA58,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/RIVETING & SOLDERING, ANCHORING PRODUCTS/RIVETING & SOLDERING/RIVETS"
STA070411,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HAND TACKERS & STAPLERS, ANCHORING PRODUCTS/HAND TACKERS & STAPLERS/HAND TACKERS"
