sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
22MCI800,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - SELF COLOUR",,,,,,
24MCP1000,,,,,,,,,,,,,,,,,,,"NUTS/TURRET NUT, NUTS/TURRET NUT/TURRET NUTS - SELF COLOUR",,,,,,
24MCP4S00,,,,,,,,,,,,,,,,,,,"NUTS/TURRET NUT, NUTS/TURRET NUT/TURRET NUTS - STAINLESS STEEL",,,,,,
24MFI854,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & YELLOW",,,,,,
24MFP1000,,,,,,,,,,,,,,,,,,,"NUTS/TURRET NUT, NUTS/TURRET NUT/TURRET NUTS - SELF COLOUR",,,,,,
27MCI1054,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & YELLOW",,,,,,
27MCI2S00,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - STAINLESS STEEL",,,,,,
27MCP1254,,,,,,,,,,,,,,,,,,,"NUTS/TURRET NUT, NUTS/TURRET NUT/TURRET NUTS - ZINC & YELLOW",,,,,,
30MCI1054,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & YELLOW",,,,,,
30MCI2S00,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - STAINLESS STEEL",,,,,,
36MCI800,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - SELF COLOUR",,,,,,
36MCP800,,,,,,,,,,,,,,,,,,,"NUTS/TURRET NUT, NUTS/TURRET NUT/TURRET NUTS - SELF COLOUR",,,,,,
36MCV855,,,,,,,,,,,,,,,,,,,"NUTS/MARK V NUT, NUTS/MARK V NUT/MARK V NUTS - ZINC & YELLOW",,,,,,
42MCI800,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - SELF COLOUR",,,,,,
42MCI854,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & YELLOW",,,,,,
4MCP2018,,,,,,,,,,,,,,,,,,,NUTS/TURRET NUT,,,,,,
4MCP800,,,,,,,,,,,,,,,,,,,"NUTS/TURRET NUT, NUTS/TURRET NUT/TURRET NUTS - SELF COLOUR",,,,,,
56MCI1257,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & CLEAR",,,,,,
56MFI1257,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & CLEAR",,,,,,
5MCP4S00,,,,,,,,,,,,,,,,,,,"NUTS/TURRET NUT, NUTS/TURRET NUT/TURRET NUTS - STAINLESS STEEL",,,,,,
5MCP837,,,,,,,,,,,,,,,,,,,NUTS/TURRET NUT,,,,,,
64MCJ837,,,,,,,,,,,,,,,,,,,NUTS/INDUSTRIAL NUT,,,,,,
6MCI4S00,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - STAINLESS STEEL",,,,,,
6MCI854,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & YELLOW",,,,,,
6MCV855,,,,,,,,,,,,,,,,,,,"NUTS/MARK V NUT, NUTS/MARK V NUT/MARK V NUTS - ZINC & YELLOW",,,,,,
8MCI2S00,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - STAINLESS STEEL",,,,,,
8MCP4S00,,,,,,,,,,,,,,,,,,,"NUTS/TURRET NUT, NUTS/TURRET NUT/TURRET NUTS - STAINLESS STEEL",,,,,,
EFI137,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & CLEAR",,,,,,
EUFI100,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - SELF COLOUR",,,,,,
EUFP137,,,,,,,,,,,,,,,,,,,NUTS/TURRET NUT,,,,,,
FK42MCI800,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - SELF COLOUR",,,,,,
GFI100,,,,,,,,,,,,,,,,,,,NUTS/INDUSTRIAL NUT,,,,,,
GUCI137,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & CLEAR",,,,,,
GUFI100,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - SELF COLOUR",,,,,,
GUFJ100,,,,,,,,,,,,,,,,,,,NUTS/INDUSTRIAL NUT,,,,,,
GUFJ137,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & CLEAR",,,,,,
GWI137,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & CLEAR",,,,,,
H2UCI100,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - SELF COLOUR",,,,,,
JFI137,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & CLEAR",,,,,,
JUCI137,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & CLEAR",,,,,,
JUFJ137,,,,,,,,,,,,,,,,,,,"NUTS/INDUSTRIAL NUT, NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & CLEAR",,,,,,
JUFP4S00,,,,,,,,,,,,,,,,,,,"NUTS/TURRET NUT, NUTS/TURRET NUT/TURRET NUTS - STAINLESS STEEL",,,,,,
