sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"C612F114",,,,,,,,,,,,,,,,,,,,,17.75,0.178,,
"C612F12",,,,,,,,,,,,,,,,,,,,,10.8,0.108,,
"C612F34",,,,,,,,,,,,,,,,,,,,,5.45,0.055,,
"C612F38",,,,,,,,,,,,,,,,,,,,,9.68,0.097,,
"C612F58",,,,,,,,,,,,,,,,,,,,,8.18,0.082,,
"C6134C10",,,,,,,,,,,,,,,,,,,,,11812.5,118.125,,
"C6134C12",,,,,,,,,,,,,,,,,,,,,11636,116.360,,
"C6134C14",,,,,,,,,,,,,,,,,,,,,14646.85,146.469,,
"C6134C15",,,,,,,,,,,,,,,,,,,,,14862.9,148.629,,
"C6134C16",,,,,,,,,,,,,,,,,,,,,17837.25,178.373,,
"C6134C18",,,,,,,,,,,,,,,,,,,,,20539.33,205.393,,
"C6134C3",,,,,,,,,,,,,,,,,,,,,5084.55,50.846,,
"C6134C312",,,,,,,,,,,,,,,,,,,,,47.18,0.472,,
"C6134C412",,,,,,,,,,,,,,,,,,,,,6684.53,66.845,,
"C6134C512",,,,,,,,,,,,,,,,,,,,,6979.4,69.794,,
"C6134C8",,,,,,,,,,,,,,,,,,,,,11912.08,119.121,,
"C6134C9",,,,,,,,,,,,,,,,,,,,,10190.05,101.901,,
"C6138C11",,,,,,,,,,,,,,,,,,,,,6358.1,63.581,,
"C6138C18",,,,,,,,,,,,,,,,,,,,,10851.95,108.520,,
"C6138C312",,,,,,,,,,,,,,,,,,,,,1725.55,17.256,,
"C6138C4",,,,,,,,,,,,,,,,,,,,,2567.45,25.675,,
"C6138C512",,,,,,,,,,,,,,,,,,,,,2587.35,25.874,,
"C6138C7",,,,,,,,,,,,,,,,,,,,,3281.78,32.818,,
"C6138C8",,,,,,,,,,,,,,,,,,,,,5018.68,50.187,,
"C6138F3",,,,,,,,,,,,,,,,,,,,,1919.35,19.194,,
"C6138F312",,,,,,,,,,,,,,,,,,,,,2293.88,22.939,,
"C6138F4",,,,,,,,,,,,,,,,,,,,,1800.6,18.006,,
"C6138F512",,,,,,,,,,,,,,,,,,,,,2737.38,27.374,,
"C6138F7",,,,,,,,,,,,,,,,,,,,,4286.18,42.862,,
"C6138F8",,,,,,,,,,,,,,,,,,,,,6245.7,62.457,,
"C61C1",,,,,,,,,,,,,,,,,,,,,7.33,0.073,,
"C61C10",,,,,,,,,,,,,,,,,,,,,1839.3,18.393,,
"C61C11",,,,,,,,,,,,,,,,,,,,,3140.2,31.402,,
"C61C112",,,,,,,,,,,,,,,,,,,,,356.48,3.565,,
"C61C12",,,,,,,,,,,,,,,,,,,,,2996.13,29.961,,
"C61C13",,,,,,,,,,,,,,,,,,,,,2341,23.410,,
"C61C134",,,,,,,,,,,,,,,,,,,,,523.03,5.230,,
"C61C14",,,,,,,,,,,,,,,,,,,,,2300.73,23.007,,
"C61C16",,,,,,,,,,,,,,,,,,,,,2995.6,29.956,,
"C61C18",,,,,,,,,,,,,,,,,,,,,3361.03,33.610,,
"C61C2",,,,,,,,,,,,,,,,,,,,,443.98,4.440,,
"C61C212",,,,,,,,,,,,,,,,,,,,,454.1,4.541,,
"C61C214",,,,,,,,,,,,,,,,,,,,,497.38,4.974,,
"C61C234",,,,,,,,,,,,,,,,,,,,,498.4,4.984,,
"C61C3",,,,,,,,,,,,,,,,,,,,,551.05,5.511,,
"C61C312",,,,,,,,,,,,,,,,,,,,,668.75,6.688,,
"C61C314",,,,,,,,,,,,,,,,,,,,,555.63,5.556,,
"C61C334",,,,,,,,,,,,,,,,,,,,,501.85,5.019,,
"C61C34",,,,,,,,,,,,,,,,,,,,,7.33,0.073,,
"C61C38",,,,,,,,,,,,,,,,,,,,,8.43,0.084,,
"C61C4",,,,,,,,,,,,,,,,,,,,,708.75,7.088,,
"C61C412",,,,,,,,,,,,,,,,,,,,,801.78,8.018,,
"C61C434",,,,,,,,,,,,,,,,,,,,,890.68,8.907,,
"C61C5",,,,,,,,,,,,,,,,,,,,,624.08,6.241,,
"C61C512",,,,,,,,,,,,,,,,,,,,,735.28,7.353,,
"C61C516",,,,,,,,,,,,,,,,,,,,,6.18,0.062,,
"C61C58",,,,,,,,,,,,,,,,,,,,,6.18,0.062,,
"C61C6",,,,,,,,,,,,,,,,,,,,,962.6,9.626,,
"C61C612",,,,,,,,,,,,,,,,,,,,,1254.73,12.547,,
"C61C7",,,,,,,,,,,,,,,,,,,,,1083.63,10.836,,
"C61C712",,,,,,,,,,,,,,,,,,,,,1260.68,12.607,,
"C61C8",,,,,,,,,,,,,,,,,,,,,1023.75,10.238,,
"C61C812",,,,,,,,,,,,,,,,,,,,,1582.2,15.822,,
"C61C9",,,,,,,,,,,,,,,,,,,,,1411.33,14.113,,
"C61C916",,,,,,,,,,,,,,,,,,,,,7.58,0.076,,
"C61F12",,,,,,,,,,,,,,,,,,,,,4.63,0.046,,
"C61F18",,,,,,,,,,,,,,,,,,,,,12.45,0.125,,
"C61F3",,,,,,,,,,,,,,,,,,,,,1231.1,12.311,,
"C61F312",,,,,,,,,,,,,,,,,,,,,1223.48,12.235,,
"C61F316",,,,,,,,,,,,,,,,,,,,,12.83,0.128,,
"C61F38",,,,,,,,,,,,,,,,,,,,,9.4,0.094,,
"C61F5",,,,,,,,,,,,,,,,,,,,,1563.13,15.631,,
"C61F58",,,,,,,,,,,,,,,,,,,,,10.98,0.110,,
"C61F6",,,,,,,,,,,,,,,,,,,,,1536.05,15.361,,
"C62C1",,,,,,,,,,,,,,,,,,,,,14.58,0.146,,
"C62C12",,,,,,,,,,,,,,,,,,,,,5.7,0.057,,
"C62C14",,,,,,,,,,,,,,,,,,,,,5.4,0.054,,
"C62C14.",,,,,,,,,,,,,,,,,,,,,165.68,1.657,,
"C62C15",,,,,,,,,,,,,,,,,,,,,19413.23,194.132,,
"C62C16",,,,,,,,,,,,,,,,,,,,,19164.63,191.646,,
"C62C18",,,,,,,,,,,,,,,,,,,,,6.38,0.064,,
"C62C18.",,,,,,,,,,,,,,,,,,,,,23111.2,231.112,,
"C62C312",,,,,,,,,,,,,,,,,,,,,6987.13,69.871,,
"C62C316",,,,,,,,,,,,,,,,,,,,,6.33,0.063,,
