sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"FILDTH914",,,,,,,,,,,,,,,,,,,,,13.2,13.200,,
"FILDTH98",,,,,,,,,,,,,,,,,,,,,7.36,7.360,,
"FILDTHR910",,,,,,,,,,,,,,,,,,,,,9.16,9.160,,
"FILDTHR912",,,,,,,,,,,,,,,,,,,,,10.48,10.480,,
"FILMTH2ME131",,,,,,,,,,,,,,,,,,,,,11.4,11.400,,
"FILMTH2ME132",,,,,,,,,,,,,,,,,,,,,13.2,13.200,,
"FILMTH2ME181",,,,,,,,,,,,,,,,,,,,,11.4,11.400,,
"FILMTH2ME910",,,,,,,,,,,,,,,,,,,,,11.4,11.400,,
"FILMTH2ME912",,,,,,,,,,,,,,,,,,,,,13.2,13.200,,
"FILMTH2ME914",,,,,,,,,,,,,,,,,,,,,15.64,15.640,,
"FILMTH2ME98",,,,,,,,,,,,,,,,,,,,,10.48,10.480,,
"FILMTHR910",,,,,,,,,,,,,,,,,,,,,11.26,11.260,,
"FILMTHR912",,,,,,,,,,,,,,,,,,,,,12.9,12.900,,
"FILPHB1312",,,,,,,,,,,,,,,,,,,,,11.68,11.680,,
"FILPHB1314",,,,,,,,,,,,,,,,,,,,,12.52,12.520,,
"FILPHB912",,,,,,,,,,,,,,,,,,,,,11.68,11.680,,
"FILPHB914",,,,,,,,,,,,,,,,,,,,,12.52,12.520,,
"FIS106",,,,,,,,,,,,,,,,,,,,,1.9,1.900,,
"FIS1110",,,,,,,,,,,,,,,,,,,,,11.68,11.680,,
"FIS112",,,,,,,,,,,,,,,,,,,,,3.72,3.720,,
"FIS12424",,,,,,,,,,,,,,,,,,,,,6.32,6.320,,
"FIS1953BP",,,,,,,,,,,,,,,,,,,,,22.84,22.840,,
"FIS225BP",,,,,,,,,,,,,,,,,,,,,15.1,15.100,,
"FIS22BP",,,,,,,,,,,,,,,,,,,,,9.54,9.540,,
"FIS24",,,,,,,,,,,,,,,,,,,,,7.92,7.920,,
"FIS285BP",,,,,,,,,,,,,,,,,,,,,22.3,22.300,,
"FIS295BP",,,,,,,,,,,,,,,,,,,,,12.78,12.780,,
"FIS39",,,,,,,,,,,,,,,,,,,,,13.78,13.780,,
"FISC06",,,,,,,,,,,,,,,,,,,,,5.22,5.220,,
"FISC12",,,,,,,,,,,,,,,,,,,,,9.58,9.580,,
"FISC24",,,,,,,,,,,,,,,,,,,,,23.42,23.420,,
"FISC39",,,,,,,,,,,,,,,,,,,,,44.16,44.160,,
"FISC72",,,,,,,,,,,,,,,,,,,,,270.8,270.800,,
"FLE10370",,,,,,,,,,,,,,,,,,,,,16.98,16.980,,
"FLE10371",,,,,,,,,,,,,,,,,,,,,17.22,17.220,,
"FLE10372",,,,,,,,,,,,,,,,,,,,,17.48,17.480,,
"FLE10373",,,,,,,,,,,,,,,,,,,,,24.88,24.880,,
"FLE10374",,,,,,,,,,,,,,,,,,,,,29.72,29.720,,
"FLE11340",,,,,,,,,,,,,,,,,,,,,11.48,11.480,,
"FLE11341",,,,,,,,,,,,,,,,,,,,,11.88,11.880,,
"FLE11342",,,,,,,,,,,,,,,,,,,,,12.38,12.380,,
"FLE11344",,,,,,,,,,,,,,,,,,,,,18.76,18.760,,
"FLE11502",,,,,,,,,,,,,,,,,,,,,7.92,7.920,,
"FLE11513",,,,,,,,,,,,,,,,,,,,,9.06,9.060,,
"FLE11523",,,,,,,,,,,,,,,,,,,,,9.58,9.580,,
"FLE11532",,,,,,,,,,,,,,,,,,,,,14.94,14.940,,
"FLE11713",,,,,,,,,,,,,,,,,,,,,9.58,9.580,,
"FLE11723",,,,,,,,,,,,,,,,,,,,,11.1,11.100,,
"FLE11732",,,,,,,,,,,,,,,,,,,,,20.54,20.540,,
"FLE12910",,,,,,,,,,,,,,,,,,,,,10.86,10.860,,
"FLE12911",,,,,,,,,,,,,,,,,,,,,10.08,10.080,,
"FLE17060",,,,,,,,,,,,,,,,,,,,,20.8,20.800,,
"FLE17079",,,,,,,,,,,,,,,,,,,,,24.62,24.620,,
"FLE17095",,,,,,,,,,,,,,,,,,,,,24.62,24.620,,
"FLE17096",,,,,,,,,,,,,,,,,,,,,24.62,24.620,,
"FLE17098",,,,,,,,,,,,,,,,,,,,,31.54,31.540,,
"FLE17099",,,,,,,,,,,,,,,,,,,,,33.04,33.040,,
"FLE17220",,,,,,,,,,,,,,,,,,,,,17.48,17.480,,
"FLE17405",,,,,,,,,,,,,,,,,,,,,12.18,12.180,,
"FLE20015",,,,,,,,,,,,,,,,,,,,,7.92,7.920,,
"FLE20018",,,,,,,,,,,,,,,,,,,,,7.92,7.920,,
"FLE20020",,,,,,,,,,,,,,,,,,,,,7.92,7.920,,
"FLE20030",,,,,,,,,,,,,,,,,,,,,7.92,7.920,,
"FLE20107",,,,,,,,,,,,,,,,,,,,,8.94,8.940,,
"FLE20115",,,,,,,,,,,,,,,,,,,,,8.94,8.940,,
"FLE20210",,,,,,,,,,,,,,,,,,,,,9.58,9.580,,
"FLE20305",,,,,,,,,,,,,,,,,,,,,14.94,14.940,,
"FLE20310",,,,,,,,,,,,,,,,,,,,,14.94,14.940,,
"FLE20405",,,,,,,,,,,,,,,,,,,,,20.28,20.280,,
"FLE20510",,,,,,,,,,,,,,,,,,,,,23.72,23.720,,
"FLE21910",,,,,,,,,,,,,,,,,,,,,5.88,5.880,,
"FLE21935",,,,,,,,,,,,,,,,,,,,,4.08,4.080,,
"FLE21940",,,,,,,,,,,,,,,,,,,,,4.08,4.080,,
"FLE21945",,,,,,,,,,,,,,,,,,,,,4.08,4.080,,
"FLE24030",,,,,,,,,,,,,,,,,,,,,5.1,5.100,,
"FLE24035",,,,,,,,,,,,,,,,,,,,,5.1,5.100,,
"FLE24045",,,,,,,,,,,,,,,,,,,,,5.1,5.100,,
"FLE24060",,,,,,,,,,,,,,,,,,,,,5.1,5.100,,
"FLE24070",,,,,,,,,,,,,,,,,,,,,6.12,6.120,,
"FLE24075",,,,,,,,,,,,,,,,,,,,,44.64,44.640,,
"FLE32315",,,,,,,,,,,,,,,,,,,,,25.5,25.500,,
"FLE32320",,,,,,,,,,,,,,,,,,,,,27.64,27.640,,
