"%1 ending **** %2","%1 ending **** %2"
"A final payment of %1 has been made which completes the order, however creating a charge for the order failed.","A final payment of %1 has been made which completes the order, however creating a charge for the order failed."
"A payment for this order can be made through a SEPA bank transfer. You will receive the details of our bank account as soon as the order is placed. The payment can be made in a single transfer, or in multiple transfers. You will receive an email confirmation for every payment that we receive. Bank transfers take on average 1-2 business days to reach us.","A payment for this order can be made through a SEPA bank transfer. You will receive the details of our bank account as soon as the order is placed. The payment can be made in a single transfer, or in multiple transfers. You will receive an email confirmation for every payment that we receive. Bank transfers take on average 1-2 business days to reach us."
"A payment is pending for this order. Source ID: %1","A payment is pending for this order. Source ID: %1"
"A payment of %1 has been received, however this order is already being processed. Please hold while we review your order for possible overpayments.","A payment of %1 has been received, however this order is already being processed. Please hold while we review your order for possible overpayments."
"A webhook will automatically be configured in your Stripe account which will point to <a href=""%1"" target=""_blank"">%1</a>. Please ensure that this link is externally accessible. Existing webhook configurations will be upgraded. A reconfigure is necessary when you change your Stripe API keys or your website Base URL.","A webhook will automatically be configured in your Stripe account which will point to <a href=""%1"" target=""_blank"">%1</a>. Please ensure that this link is externally accessible. Existing webhook configurations will be upgraded. A reconfigure is necessary when you change your Stripe API keys or your website Base URL."
"Above all payment methods","Above all payment methods"
"Account Holder Name","Account Holder Name"
"Account Number","Account Number"
"Account Type","Account Type"
"Add a new card","Add a new card"
"Add a new saved card","Add a new saved card"
"Add to the subscription price","Add to the subscription price"
"Additional Info","Additional Info"
"After the order is placed, two micro-deposits will be made to your bank account with a statement description of ""AMNTS:"". These deposits will take 1-2 business days to appear on your online statement. Once they appear, click the link in your order email to enter these two amounts into a verification form. As soon as your bank account is verified, the payment will be completed and your order will be processed. For registered customers, this is only needed once per bank account.","After the order is placed, two micro-deposits will be made to your bank account with a statement description of ""AMNTS:"". These deposits will take 1-2 business days to appear on your online statement. Once they appear, click the link in your order email to enter these two amounts into a verification form. As soon as your bank account is verified, the payment will be completed and your order will be processed. For registered customers, this is only needed once per bank account."
"All Currencies","All Currencies"
"American Express","American Express"
"An error has occurred. Please contact us to complete your order.","An error has occurred. Please contact us to complete your order."
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"An unsuccessful transaction for the amount of %1 has been attempted by the customer.","An unsuccessful transaction for the amount of %1 has been attempted by the customer."
"Apple Pay","Apple Pay"
"Are you sure you want to cancel this subscription?","Are you sure you want to cancel this subscription?"
"Ask the customer","Ask the customer"
"Attempting ACH charge for %1.","Attempting ACH charge for %1."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Automatic Invoicing","Automatic Invoicing"
"Available Payment Options","Available Payment Options"
"Bank Account Details","Bank Account Details"
"Bank Debits & Transfers","Bank Debits & Transfers"
"Basic Settings","Basic Settings"
"Button Height","Button Height"
"Button Theme","Button Theme"
"Button Type","Button Type"
"Buy now with Apple Pay","Buy now with Apple Pay"
"By providing your IBAN and confirming this payment, you authorise (A) %1 and Stripe, our payment service provider, to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %1 and Stripe. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you authorise (A) %1 and Stripe, our payment service provider, to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %1 and Stripe. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
"CVC Check","CVC Check"
"Card **** %1 has been deleted.","Card **** %1 has been deleted."
"Card **** %1 was added successfully.","Card **** %1 was added successfully."
"Card Country","Card Country"
"Card Icons","Card Icons"
"Card Payments","Card Payments"
"Charge only once","Charge only once"
"Checkout Button Location","Checkout Button Location"
"Checkout Page","Checkout Page"
"Collect at the checkout (optional)","Collect at the checkout (optional)"
"Collect at the checkout (required)","Collect at the checkout (required)"
"Could not retrieve Payment Intent for subscription","Could not retrieve Payment Intent for subscription"
"Could not retrieve payment details. Please contact us.","Could not retrieve payment details. Please contact us."
"Could not set up customer profile","Could not set up customer profile"
"Could not set up customer profile: %1","Could not set up customer profile: %1"
"Currencies Applicable For","Currencies Applicable For"
"Customer 3D secure authentication is pending for this order.","Customer 3D secure authentication is pending for this order."
"Customer Account Holder Name","Customer Account Holder Name"
"Customer IBAN","Customer IBAN"
"Delivery Every","Delivery Every"
"Digital Wallets","Digital Wallets"
"Diners Club","Diners Club"
"Disabled (Use this in Live Mode)","Disabled (Use this in Live Mode)"
"Display Payment Method For","Display Payment Method For"
"Display all card icons","Display all card icons"
"Do not collect at the checkout","Do not collect at the checkout"
"EPS (Electronic Payment Standard)","EPS (Electronic Payment Standard)"
"Enter your card details:","Enter your card details:"
"Euro Only","Euro Only"
"Euro and Polish Złoty Only","Euro and Polish Złoty Only"
"Expired Authorizations","Expired Authorizations"
"Fraud via Stripe Radar","Fraud via Stripe Radar"
"Funds are never sent","Funds are never sent"
"Hold Elevated Risk Orders","Hold Elevated Risk Orders"
"Icons Location","Icons Location"
"Initial Fee","Initial Fee"
"Inside the Stripe payment form","Inside the Stripe payment form"
"Instant Payment Checkout","Instant Payment Checkout"
"Invalid IBAN provided.","Invalid IBAN provided."
"Invalid type specified for PRAPI params","Invalid type specified for PRAPI params"
"Last Billed","Last Billed"
"Left hand side of the title","Left hand side of the title"
"Live Publishable API Key","Live Publishable API Key"
"Live Secret API Key","Live Secret API Key"
"Live Webhooks Signing Secret","Live Webhooks Signing Secret"
"Minimum Order Amount","Minimum Order Amount"
"Module Version","Module Version"
"No IBAN provided.","No IBAN provided."
"No order for processing found","No order for processing found"
"Optional Statement Descriptor","Optional Statement Descriptor"
"Or use a card below","Or use a card below"
"Order #","Order #"
"Order #%1 could not be placed: %2. Please try placing the order again.","Order #%1 could not be placed: %2. Please try placing the order again."
"Order #%1 has been placed successfully","Order #%1 has been placed successfully"
"Order place error","Order place error"
"Order placed under manual review by Stripe Radar","Order placed under manual review by Stripe Radar"
"Other Payment Methods","Other Payment Methods"
"P24 (Przelewy24)","P24 (Przelewy24)"
"Past Due","Past Due"
"Pay in store currency","Pay in store currency"
"Payment Action","Payment Action"
"Payment Authorization","Payment Authorization"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Payment Method","Payment Method"
"Payment Type","Payment Type"
"Payment authentication succeeded.","Payment authentication succeeded."
"Payment failed.","Payment failed."
"Payment succeeded.","Payment succeeded."
"Place Order","Place Order"
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please provide an IBAN.","Please provide an IBAN."
"Please provide an account holder name.","Please provide an account holder name."
"Please select your bank before placing the order","Please select your bank before placing the order"
"Please select your bank","Please select your bank"
"Please update your billing address to proceed.","Please update your billing address to proceed."
"Product Page","Product Page"
"Radar Risk","Radar Risk"
"Received %1 webhook but could find the order ID for the event.","Received %1 webhook but could find the order ID for the event."
"Received %1 webhook but could find the source ID in the database.","Received %1 webhook but could find the source ID in the database."
"Right hand side of the title","Right hand side of the title"
"Routing Number","Routing Number"
"SCA MOTO Exemptions","SCA MOTO Exemptions"
"SEPA Credit Transfers","SEPA Credit Transfers"
"SEPA Direct Debit","SEPA Direct Debit"
"Save Customer Cards","Save Customer Cards"
"Save card for future purchases","Save card for future purchases"
"Save without asking","Save without asking"
"Saved Cards","Saved Cards"
"Select Card Icons","Select Card Icons"
"Seller Name","Seller Name"
"Shipping Address","Shipping Address"
"Shipping Cost","Shipping Cost"
"Shopping Cart Page","Shopping Cart Page"
"Show all accepted card types","Show all accepted card types"
"Show only specific cards","Show only specific cards"
"Show only the detected card type","Show only the detected card type"
"Something has gone wrong with your payment. Please contact us.","Something has gone wrong with your payment. Please contact us."
"Sorry, ACH payments cannot be invoiced or captured from the Magento admin. An paid invoice will automatically be created when the bank transfer is completed successfully.","Sorry, ACH payments cannot be invoiced or captured from the Magento admin. An paid invoice will automatically be created when the bank transfer is completed successfully."
"Sorry, an payment error has occurred, please contact us for support.","Sorry, an payment error has occurred, please contact us for support."
"Sorry, it is not possible to invoice this order from the admin area. An invoice will automatically be created when a payment transaction occurs.","Sorry, it is not possible to invoice this order from the admin area. An invoice will automatically be created when a payment transaction occurs."
"Sorry, the subscription could not be canceled. Please contact us for more help.","Sorry, the subscription could not be canceled. Please contact us for more help."
"Sorry, there are no available payment options","Sorry, there are no available payment options"
"Sorry, there are no available payment options.","Sorry, there are no available payment options."
"Sorry, this payment method is not available in your country.","Sorry, this payment method is not available in your country."
"Sorry, we could not create the subscription for %1. Please contact us for more help.","Sorry, we could not create the subscription for %1. Please contact us for more help."
"Sort Order","Sort Order"
"Specific Currencies","Specific Currencies"
"Street Check","Street Check"
"Stripe.js v2","Stripe.js v2"
"Stripe.js v3 + Stripe Elements","Stripe.js v3 + Stripe Elements"
"Subscription %1 was paid but the associated product with ID %1 could not be loaded.","Subscription %1 was paid but the associated product with ID %1 could not be loaded."
"Subscription %1 was paid but there was no Product ID in the subscription's metadata.","Subscription %1 was paid but there was no Product ID in the subscription's metadata."
"Subscription <b>%1</b> has been canceled!","Subscription <b>%1</b> has been canceled!"
"Subscriptions via Stripe Billing","Subscriptions via Stripe Billing"
"Test Payment","Test Payment"
"Test Publishable API Key","Test Publishable API Key"
"Test Secret API Key","Test Secret API Key"
"Test Webhooks Signing Secret","Test Webhooks Signing Secret"
"Thank you for your payment of %1. It seems that the order has been overpaid by %2 and a refund for this amount is due back to your bank account. In the meantime, your order is will be processed normally.","Thank you for your payment of %1. It seems that the order has been overpaid by %2 and a refund for this amount is due back to your bank account. In the meantime, your order is will be processed normally."
"Thank you for your payment of %1. Your order is now complete and will be processed soon.","Thank you for your payment of %1. Your order is now complete and will be processed soon."
"Thank you for your payment of %1. Your order is still pending! To complete the payment, please transfer a further %2 to the bank account with IBAN %3 and BIC code %4.","Thank you for your payment of %1. Your order is still pending! To complete the payment, please transfer a further %2 to the bank account with IBAN %3 and BIC code %4."
